FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
./fusion_twas/WEIGHTS/LIV_LDL/TOP1MT_500kb.wgt.RDat	TOP1MT	8	1.44e+08	1.44e+08	0.0634	rs4075205	  3.13	rs7819483	 0.061979	  5.79	 -1.5439	148	  1	lasso	0.04619	 4.27e-07	-1.54386	1.23e-01
./fusion_twas/WEIGHTS/LIV_LDL/NEIL2_500kb.wgt.RDat	NEIL2	8	1.16e+07	1.16e+07	0.2086	rs2736328	  2.93	rs3735814	 0.089002	  7.83	 -0.8654	202	 19	enet	0.11937	 2.66e-16	-0.81578	4.15e-01
./fusion_twas/WEIGHTS/LIV_LDL/ENPP2_500kb.wgt.RDat	ENPP2	8	1.21e+08	1.21e+08	0.0409	rs2470029	 -2.24	rs1433948	 0.045484	 -5.22	 -0.8679	172	  3	lasso	0.03836	 3.89e-06	 0.86384	3.88e-01
./fusion_twas/WEIGHTS/LIV_LDL/RP11-760H22.2_500kb.wgt.RDat	RP11-760H22.2	8	1.21e+08	1.21e+08	0.2110	rs4870728	 -2.64	rs4870988	 0.185515	 -9.84	  1.7455	147	  4	lasso	0.18818	 1.39e-25	-1.73304	8.31e-02
./fusion_twas/WEIGHTS/LIV_LDL/COX6C_500kb.wgt.RDat	COX6C	8	1.01e+08	1.01e+08	0.0789	rs7844422	  3.05	rs4626565	 0.103612	 -7.59	  1.1343	 94	 10	enet	0.10156	 5.24e-14	-1.26021	2.08e-01
./fusion_twas/WEIGHTS/LIV_LDL/TERF1_500kb.wgt.RDat	TERF1	8	7.39e+07	7.40e+07	0.0517	rs7005762	 -2.74	rs2975852	 0.066016	  5.98	 -0.4630	244	  1	lasso	0.05795	 1.53e-08	-0.46296	6.43e-01
./fusion_twas/WEIGHTS/LIV_LDL/PSD3_500kb.wgt.RDat	PSD3	8	1.84e+07	1.89e+07	0.0618	rs1961456	  5.20	rs7010496	 0.016076	 -5.04	 -1.5632	586	 16	enet	0.03788	 4.45e-06	 0.33927	7.34e-01
./fusion_twas/WEIGHTS/LIV_LDL/TBC1D31_500kb.wgt.RDat	TBC1D31	8	1.24e+08	1.24e+08	0.0792	rs3824252	 -3.15	rs13248008	 0.017456	  4.37	  1.2037	235	235	prs	0.02817	 6.88e-05	 0.37307	7.09e-01
./fusion_twas/WEIGHTS/LIV_LDL/CCDC25_500kb.wgt.RDat	CCDC25	8	2.76e+07	2.76e+07	0.4802	rs1316801	 -2.88	rs10102309	 0.644847	-18.17	 -1.5283	288	  4	lasso	0.64393	6.64e-119	 1.53983	1.24e-01
./fusion_twas/WEIGHTS/LIV_LDL/LYNX1_500kb.wgt.RDat	LYNX1	8	1.44e+08	1.44e+08	0.4586	rs4075205	  3.13	rs2717586	 0.506373	 16.12	  0.2281	153	 14	enet	0.54321	 9.63e-91	 0.16248	8.71e-01
