FILE	ID	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P
./fusion_twas/WEIGHTS/Blood_LDL/WDR11_500kb.wgt.RDat	WDR11	10	1.23e+08	1.23e+08	0.3047	rs11199297	 3.15	rs1254178	 0.240223	 10.30	-1.0000	287	  5	lasso	0.23000	 2.62e-27	-1.10426	0.269480
./fusion_twas/WEIGHTS/Blood_LDL/ZNF248_500kb.wgt.RDat	ZNF248	10	3.81e+07	3.81e+07	0.0496	rs2799505	 2.96	rs7082477	 0.025841	  4.66	-1.4074	 75	 75	prs	0.03216	 8.13e-05	-0.65328	0.513576
./fusion_twas/WEIGHTS/Blood_LDL/SVIL_500kb.wgt.RDat	SVIL	10	2.97e+07	3.00e+07	0.2550	rs555438	-2.53	rs11007716	 0.038946	  6.10	-0.9259	393	 25	enet	0.12815	 3.51e-15	 0.31259	0.754590
./fusion_twas/WEIGHTS/Blood_LDL/FRAT2_500kb.wgt.RDat	FRAT2	10	9.91e+07	9.91e+07	0.0638	rs2297643	 2.47	rs11189224	 0.026251	  4.79	-1.3088	184	184	prs	0.03965	 1.32e-05	-1.15450	0.248294
./fusion_twas/WEIGHTS/Blood_LDL/RP11-499P20.2_500kb.wgt.RDat	RP11-499P20.2	10	1.88e+07	1.88e+07	0.3571	rs17662793	 3.45	rs7088091	 0.365018	 12.84	 0.9815	267	 20	enet	0.40346	 4.31e-52	 1.08433	0.278221
./fusion_twas/WEIGHTS/Blood_LDL/WAC-AS1_500kb.wgt.RDat	WAC-AS1	10	2.88e+07	2.88e+07	0.2785	rs12783789	-2.44	rs332153	 0.177091	  9.14	 0.2833	236	  5	lasso	0.26619	 5.44e-32	 1.15772	0.246977
./fusion_twas/WEIGHTS/Blood_LDL/CCDC7_500kb.wgt.RDat	CCDC7	10	3.27e+07	3.29e+07	0.0430	rs16933853	-2.51	rs1541135	 0.016895	  4.64	-1.6545	123	123	prs	0.04080	 9.98e-06	-1.43639	0.150892
./fusion_twas/WEIGHTS/Blood_LDL/ENTPD1_500kb.wgt.RDat	ENTPD1	10	9.75e+07	9.76e+07	0.2411	rs941999	-3.38	rs3176892	 0.179055	  8.90	-1.2645	235	 11	lasso	0.22594	 8.53e-27	-2.07454	0.038029
./fusion_twas/WEIGHTS/Blood_LDL/RP11-354E11.2_500kb.wgt.RDat	RP11-354E11.2	10	2.00e+07	2.00e+07	0.0463	rs7074175	 3.24	rs2245456	 0.007935	  0.00	 2.0000	246	246	prs	0.01194	 1.18e-02	 0.72149	0.470606
./fusion_twas/WEIGHTS/Blood_LDL/MGMT_500kb.wgt.RDat	MGMT	10	1.31e+08	1.32e+08	0.2790	rs12246239	-3.17	rs10764837	 0.209553	  0.00	 1.3036	296	 36	enet	0.22456	 1.27e-26	 1.63861	0.101294
./fusion_twas/WEIGHTS/Blood_LDL/PDCD4_500kb.wgt.RDat	PDCD4	10	1.13e+08	1.13e+08	0.0724	rs7917960	-2.40	rs7081449	 0.007293	  0.00	 1.3519	240	240	prs	0.00574	 5.94e-02	 0.75881	0.447966
./fusion_twas/WEIGHTS/Blood_LDL/NUTM2A-AS1_500kb.wgt.RDat	NUTM2A-AS1	10	8.90e+07	8.91e+07	0.2004	rs3905377	-3.06	rs7908056	 0.012860	  4.25	 0.7692	127	 31	enet	0.09951	 5.26e-12	 0.71809	0.472701
./fusion_twas/WEIGHTS/Blood_LDL/ABLIM1_500kb.wgt.RDat	ABLIM1	10	1.16e+08	1.16e+08	0.0666	rs4751902	 2.68	rs2475240	 0.029895	 -4.72	 0.2833	190	190	prs	0.02813	 2.16e-04	 0.01617	0.987099
./fusion_twas/WEIGHTS/Blood_LDL/ZFYVE27_500kb.wgt.RDat	ZFYVE27	10	9.95e+07	9.95e+07	0.0441	rs2297643	 2.47	rs10748709	 0.026899	 -4.52	-0.3382	176	  3	lasso	0.02446	 5.31e-04	 0.53183	0.594843
./fusion_twas/WEIGHTS/Blood_LDL/SLC18A2_500kb.wgt.RDat	SLC18A2	10	1.19e+08	1.19e+08	0.2607	rs12572534	 2.75	rs181440	 0.097325	 -7.74	-0.1154	208	 24	enet	0.14035	 1.46e-16	-0.49178	0.622877
